Module,Function,Haskell,Gallina,Proofs
CSE,addBinder,8,132,
CSE,addBinders,8,,
CSE,addBinding,30,,
CSE,addRecBinders,8,,
CSE,combineAlts,30,42,
CSE,csEnvSubst,4,2,
CSE,cs_map,,3,
CSE,cs_rec_map,,3,
CSE,cs_subst,,5,
CSE,cseBind,54,,
CSE,cseCase,50,,
CSE,cseExpr,26,125,
CSE,cseOneExpr,6,7,
CSE,cseProgram,4,4,
CSE,cse_bind,28,,
CSE,emptyCSEnv,6,2,
CSE,extendCSEnv,10,6,
CSE,extendCSRecEnv,6,,
CSE,extendCSSubst,4,10,
CSE,lookupCSEnv,6,5,
CSE,lookupCSRecEnv,6,,
CSE,lookupSubst,4,13,
CSE,noCSE,10,7,
CSE,tryForCSE,16,59,
CSE,Headers and types,274,26,168
Core,,48,,
Core,Here,82,,
Core,StrDmd_size,,7,
Core,absDmd,2,2,
Core,addCaseBndrDmd,12,,
Core,addDemand,2,5,
Core,addRnInScopeSet,4,5,
Core,algTcFields,,22,
Core,algTcGadtSyntax,,22,
Core,algTcRhs,,22,
Core,algTcStupidTheta,,22,
Core,algTyConRhs,3,6,
Core,allDVarSet,2,2,
Core,allVarSet,2,2,
Core,alterDVarEnv,2,3,
Core,alterVarEnv,1,3,
Core,anyDVarEnv,2,2,
Core,anyDVarSet,2,2,
Core,anyVarSet,2,2,
Core,appIsBottom,4,7,
Core,applyRoles,3,,
Core,applyTypeToArg,2,,
Core,applyTysX,9,,
Core,argOneShots,10,32,
Core,argsOneShots,10,,
Core,arityInfo,,3,
Core,axAge,2,,
Core,axF1,2,,
Core,axF2,89,,
Core,binderArgFlag,2,2,
Core,binderKind,2,2,
Core,binderRelevantType_maybe,3,,
Core,binderVar,2,2,
Core,binderVars,2,2,
Core,bindersOf,3,8,
Core,bindersOfBinds,2,3,
Core,bootUnfolding,2,,
Core,boringCxtNotOk,3,2,
Core,boringCxtOk,,2,
Core,botDmd,2,2,
Core,botDmdType,,2,
Core,botRes,,2,
Core,botSig,,2,
Core,bothArgStr,4,7,
Core,bothArgUse,4,,
Core,bothCleanDmd,3,5,
Core,bothDmd,4,5,
Core,bothDmdResult,12,7,
Core,bothDmdType,13,7,
Core,bothExnStr,3,6,
Core,bothStr,13,23,
Core,bothUse,13,,
Core,breakpointFVs,,13,
Core,breakpointId,,13,
Core,buildAlgTyCon,15,,
Core,buildSynTyCon,7,,
Core,cafInfo,,3,
Core,callArityInfo,,3,
Core,canUnfold,44,2,
Core,caseBinder,6,,
Core,castCoercionKind,3,,
Core,catchArgDmd,,2,
Core,checkRecTc,8,12,
Core,checkValidSubst,25,,
Core,chooseOrphanAnchor,23,5,
Core,classATItems,4,6,
Core,classATStuff,,7,
Core,classATs,4,8,
Core,classAllSelIds,4,11,
Core,classArity,2,2,
Core,classBigSig,11,,
Core,classBody,,3,
Core,classDataCon,4,,
Core,classExtraBigSig,10,,
